Titleofevent,artist,date,fb,geners,linkofstream,poster
David Myles - Bruce Guthro's Songwriters Circle,David Myles,"Oct 30th, 2020",https://www.facebook.com/DavidMylesMusic/,"Folk, Pop",bruceguthro.com,https://photos.bandsintown.com/thumb/10097675.jpeg
The David Hall presents Phil Beer Live Online,Phil Beer,"Sep 19th, 2020",https://www.facebook.com/philbeermusic/,"Acoustic, Roots, Folk",www.thedavidhall.com,https://photos.bandsintown.com/thumb/9005109.jpeg
Aaron Lewis: Live From The Couch,Aaron Lewis,"Sep 9th, 2020",https://www.facebook.com/AaronLewisMusic/,"Country, Rock, Alternative",www.aaronlewisvip.com,https://photos.bandsintown.com/thumb/7904399.jpeg
Firebrand Music presents Phil Beer Live with the Painswick Centre,Phil Beer,"Sep 18th, 2020",https://www.facebook.com/philbeermusic/,"Acoustic, Roots, Folk",www.ticketsource.co.uk,https://photos.bandsintown.com/thumb/9005109.jpeg
"Left Bank Books - St. Louis, MO",Sara Evans,"Sep 8th, 2020",https://facebook.com/saraevans,Country,www.left-bank.com,https://photos.bandsintown.com/thumb/10276459.jpeg
,Dave Chappelle,"Aug 31st, 2020",,,Dice.fm,https://photos.bandsintown.com/thumb/9618883.jpeg
,James Maddock,"Aug 30th, 2020",https://www.facebook.com/jamesmaddockmusic/,,Facebook,https://photos.bandsintown.com/thumb/10352745.jpeg
Small Pre-show Zoom Q&A #1 with Pete Yorn (Includes show ticket for Day I Forgot livestream),Pete Yorn,"Aug 30th, 2020",https://www.facebook.com/peteyorn/,"Folk, Singer, Songwriter",peteyorn.veeps.com,https://photos.bandsintown.com/thumb/9402249.jpeg
The Leap Year Sessions,Greensky Bluegrass,"Sep 4th, 2020",https://www.facebook.com/greenskybluegrass/,"Alternative, Alt-country, Jam Bands, Bluegrass, Americana, Rock, Psychedelic Rock",www.hyfi.com,https://photos.bandsintown.com/thumb/8927028.jpeg
Ship's Company Theatre - Online Music Nights,Catherine MacLellan,"Aug 28th, 2020",https://www.facebook.com/catherinemaclellanmusic/,"Americana, Folk",Facebook,https://photos.bandsintown.com/thumb/9657305.jpeg
Bandsintown Live Octopus & Space Yacht,Xenia,"Aug 27th, 2020",https://www.facebook.com/OfficialXeniaMusic/,,Twitch,https://photos.bandsintown.com/thumb/8438501.jpeg
Puerto Candelaria 20 años - Comfama,Puerto Candelaria,"Aug 29th, 2020",https://www.facebook.com/PuertoCandelaria/,Cumbia Underground,YouTube,https://photos.bandsintown.com/thumb/10424001.jpeg
,Little Boots,"Aug 27th, 2020",https://www.facebook.com/littleboots/,Pop,www.patreon.com,https://photos.bandsintown.com/thumb/9547003.jpeg
