artist,endtime,starttime,timezone
Bokanté,18:30:00,17:00:00,America/Los_Angeles
Ashley Wineland,18:30:00,17:30:00,America/Los_Angeles
LP Giobbi,--------,10:30:00,America/Los_Angeles
The SoapGirls,23:00:00,19:00:00,Europe/London
The Henry Girls,17:50:00,17:20:00,America/New_York
Grace Kelly,21:30:00,20:00:00,America/New_York
Jorma Kaukonen,--------,20:00:00,America/New_York
Taarka,22:00:00,21:30:00,America/New_York
Jaimee Harris,21:30:00,20:00:00,America/Chicago
National Park Radio,--------,20:00:00,America/Chicago
The Western Swing Authority,20:00:00,19:00:00,America/Toronto
The Young Fables,--------,19:00:00,America/Los_Angeles
Amythyst Kiah,23:00:00,20:00:00,Europe/London
Della Mae,21:00:00,20:00:00,America/New_York
Hussy Hicks,--------,19:00:00,Australia/Sydney
Autograf,18:50:00,17:50:00,America/New_York
Thana Alexa,--------,18:00:00,America/New_York
Fast Times,22:00:00,20:00:00,America/Chicago
April Kry,19:30:00,16:00:00,America/Chicago
Colebrook Road,20:30:00,19:00:00,America/New_York
Seeds Family Worship,19:00:00,18:00:00,America/Chicago
Ruthie Collins,--------,17:30:00,America/Chicago
Lauren Housley,21:30:00,20:00:00,Europe/London
Plain White T's,--------,19:00:00,America/Chicago
Hainbach,--------,19:00:00,Europe/London
Eternal Boy,22:00:00,19:30:00,America/New_York
Greensky Bluegrass,--------,20:00:00,America/Chicago
Jay Ungar & Molly Mason,--------,12:00:00,America/New_York
Hungrytown,15:00:00,14:00:00,America/New_York
The David Wax Museum,21:30:00,20:30:00,America/New_York
Adam Baldwin,--------,19:00:00,America/Halifax
Caroline Chevin,16:30:00,13:30:00,Europe/Zurich
Kathryn Roberts & Sean Lakeman,--------,20:00:00,Europe/London
Hailey Whitters,--------,20:00:00,America/Chicago
Streetheart,--------,18:00:00,America/Edmonton
The SoapGirls,23:00:00,19:00:00,Europe/London
Barbara Nesbitt,--------,18:00:00,America/Chicago
Rory Block,21:00:00,19:30:00,America/New_York
Bob Livingston Music,20:30:00,19:00:00,America/Chicago
Joshua Bell,--------,01:00:00,Europe/London
Tres Leches,19:00:00,18:00:00,America/Los_Angeles
Jon Cleary,--------,12:00:00,America/Chicago
Daoirí Farrell,16:30:00,16:00:00,America/New_York
Moxie,19:10:00,18:40:00,America/New_York
Roxanne Potvin,--------,19:00:00,America/Toronto
Freekbass,--------,21:00:00,America/New_York
Lazer.Lloyd,15:00:00,13:00:00,America/New_York
The Kennedys,15:00:00,14:00:00,America/New_York
Roberto Fonseca,--------,19:30:00,Africa/Malabo
Argyle Goolsby,--------,17:00:00,America/New_York
Nathan Angelo,20:00:00,19:00:00,America/New_York
Michael Glabicki,--------,20:15:00,America/New_York
Daring Greatly,21:00:00,19:00:00,America/Los_Angeles
Rissi Palmer,--------,19:00:00,America/New_York
Jacob Moon,--------,21:00:00,America/Toronto
Leah Martin-Brown,18:00:00,17:00:00,America/Los_Angeles
Danielle Miraglia,22:00:00,20:00:00,America/New_York
David Berkeley,--------,18:00:00,America/Denver
Los Nocheros - Oficial,--------,19:00:00,America/Argentina/Salta
Jade Novah,--------,19:00:00,America/New_York
Della Mae,10:00:00,09:30:00,America/New_York
Emerson Hart,21:00:00,20:00:00,America/Chicago
Lauren Akins,--------,19:00:00,America/Chicago
Christie Lenee,21:30:00,20:00:00,America/New_York
Shelly Peiken,--------,21:00:00,America/New_York
Christylez Bacon,20:30:00,19:30:00,America/New_York
Mirah,--------,20:00:00,America/New_York
the montreal royals,--------,17:00:00,America/Toronto
Southern Halo,21:00:00,19:00:00,America/Chicago
Say Hi,--------,16:00:00,America/Los_Angeles
Argyle Goolsby,--------,17:00:00,America/New_York
Eli Lev,--------,19:00:00,America/New_York
ROZES,--------,17:30:00,America/Los_Angeles
The Stacy Jones Band,20:00:00,18:00:00,America/Los_Angeles
